Url,Address,Status,Bed,Bath,Price,Year built,Days on zillow,Lot size(sqft),House size(sqft),Parking type,Parking space,Price/sqft,Sold date,HOA,City,Heating_bool,Cooling_bool
https://www.zillow.com/homedetails/1253-Shoal-Dr-San-Mateo-CA-94404/15532436_zpid/,"1253 Shoal Dr, San Mateo, CA 94404",Sale,3,3,1695000,1974,1,3223,1690,Garage,1,1002.96,1/1/90,150,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/648-Greenwich-Ln-Foster-City-CA-94404/15615735_zpid/,"648 Greenwich Ln, Foster City, CA 94404",Sale,4,2.5,2161362,1977,362,5837,2540,Garage,1,850.93,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/14-Coral-Ln-Foster-City-CA-94404/15614787_zpid/,"14 Coral Ln, Foster City, CA 94404",Sale,4,2.5,2154584,1986,287,4791,2470,Garage,1,872.3,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/1056-Windjammer-Cir-Foster-City-CA-94404/15613402_zpid/,"1056 Windjammer Cir, Foster City, CA 94404",Sale,4,2.5,673810,1981,155,7405,2830,Garage,1,238.1,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/925-Gull-Ave-Foster-City-CA-94404/15612050_zpid/,"925 Gull Ave, Foster City, CA 94404",Sale,3,2,1655178,1966,226,5619,1540,Garage,1,1074.79,1/1/90,0,SanMateo,TRUE,FALSE
https://www.zillow.com/homedetails/5242-Vera-Ln-San-Jose-CA-95111/69231878_zpid/,"5242 Vera Ln, San Jose, CA 95111",Sold,3,2.5,866000,1959,0,5259,1838,Space,2,471.16,9/4/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/6106-Heathercreek-Way-San-Jose-CA-95123/19833528_zpid/,"6106 Heathercreek Way, San Jose, CA 95123",Sold,4,2,1050000,1976,0,6865,1794,Space,1,585.28,9/14/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/6049-Sanford-Dr-San-Jose-CA-95123/19832662_zpid/,"6049 Sanford Dr, San Jose, CA 95123",Sold,3,2,991000,1968,0,6046,1723,Space,2,575.16,10/14/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/1134-Kelez-Dr-San-Jose-CA-95120/153451369_zpid/,"1134 Kelez Dr, San Jose, CA 95120",Sold,3,2,1380000,1959,0,5259,1262,Space,3,1093.5,6/30/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/4126-Cherry-Ave-San-Jose-CA-95118/19697579_zpid/,"4126 Cherry Ave, San Jose, CA 95118",Sold,3,2,1110000,1966,0,6899,1596,Space,2,695.49,7/2/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/5836-Pentz-Way-San-Jose-CA-95123/19827626_zpid/,"5836 Pentz Way, San Jose, CA 95123",Sold,4,3,1080000,1966,0,8590,2186,Space,2,494.05,9/11/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/270-Los-Palmos-Way-San-Jose-CA-95119/19838770_zpid/,"270 Los Palmos Way, San Jose, CA 95119",Sold,6,4,1500000,1970,0,5998,3323,Space,3,451.4,9/11/20,33,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/81-Cashew-Blossom-Dr-San-Jose-CA-95123/19825504_zpid/,"81 Cashew Blossom Dr, San Jose, CA 95123",Sold,3,2,1120000,1972,0,6534,1662,Space,2,673.89,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/4835-Nicole-Ct-San-Jose-CA-95111/19808769_zpid/,"4835 Nicole Ct, San Jose, CA 95111",Sold,4,3,1160000,1980,0,6500,2096,Space,2,553.44,9/11/20,1,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/1076-Kitchener-Cir-San-Jose-CA-95121/19734873_zpid/,"1076 Kitchener Cir, San Jose, CA 95121",Sold,4,3,935000,1976,0,6403,1861,Space,2,502.42,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/3763-Polton-Place-Way-San-Jose-CA-95121/19808144_zpid/,"3763 Polton Place Way, San Jose, CA 95121",Sold,5,3,1020000,1976,0,6800,1936,Space,4,526.86,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/1964-Harmil-Way-San-Jose-CA-95125/19686225_zpid/,"1964 Harmil Way, San Jose, CA 95125",Sold,3,2,1510000,1948,0,5767,1750,Space,2,862.86,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/4678-Mia-Cir-San-Jose-CA-95136/19704946_zpid/,"4678 Mia Cir, San Jose, CA 95136",Sold,4,2,1100000,1973,0,5575,1581,Space,2,695.76,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/771-Pescadero-Dr-San-Jose-CA-95123/19819855_zpid/,"771 Pescadero Dr, San Jose, CA 95123",Sold,3,2.5,960000,1964,0,7956,1777,Space,2,540.24,9/10/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/312-Grandpark-Cir-San-Jose-CA-95136/19705502_zpid/,"312 Grandpark Cir, San Jose, CA 95136",Sold,4,3,1190000,1968,0,5466,1755,Space,2,678.06,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/261-Jaggers-Dr-San-Jose-CA-95119/19838370_zpid/,"261 Jaggers Dr, San Jose, CA 95119",Sold,5,4,1120000,1970,0,6150,2138,Space,2,523.85,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/5277-Rio-Lobo-Dr-San-Jose-CA-95136/19817241_zpid/,"5277 Rio Lobo Dr, San Jose, CA 95136",Sold,6,4,1360000,1983,0,6076,2979,Space,2,456.53,9/9/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/5063-Willow-Est-San-Jose-CA-95135/19795921_zpid/,"5063 Willow Est, San Jose, CA 95135",Sold,3,2,1210000,1973,0,6529,1622,Space,2,745.99,9/9/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/5665-Algonquin-Way-San-Jose-CA-95138/19812592_zpid/,"5665 Algonquin Way, San Jose, CA 95138",Sold,5,5,2730000,1997,0,11326,4726,Space,3,577.66,9/9/20,148,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/2226-Casa-Mia-Dr-San-Jose-CA-95124/19671326_zpid/,"2226 Casa Mia Dr, San Jose, CA 95124",Sold,3,2,1390000,1955,0,6272,1642,Space,1,846.53,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/4703-W-Hacienda-Ave-Campbell-CA-95008/19661655_zpid/,"4703 W Hacienda Ave, Campbell, CA 95008",Sold,4,3,1880000,1963,0,7239,2353,Space,2,798.98,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/126-E-Humboldt-St-San-Jose-CA-95112/19714152_zpid/,"126 E Humboldt St, San Jose, CA 95112",Sold,3,2,799000,1920,0,5427,1208,Space,1,661.42,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/654-Brentwood-Dr-San-Jose-CA-95129/19648622_zpid/,"654 Brentwood Dr, San Jose, CA 95129",Sold,4,3,1570000,1955,0,7426,1571,Space,2,999.36,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/211-S-21st-St-San-Jose-CA-95116/19711385_zpid/,"211 S 21st St, San Jose, CA 95116",Sold,5,2,1100000,1923,0,7701,2382,Space,2,461.8,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/6481-Camelia-Dr-San-Jose-CA-95120/19764768_zpid/,"6481 Camelia Dr, San Jose, CA 95120",Sold,4,3,2200000,1965,0,13939,2890,Space,2,761.25,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/2186-Hikido-Dr-San-Jose-CA-95131/19564359_zpid/,"2186 Hikido Dr, San Jose, CA 95131",Sold,3,2,1050000,1971,0,6259,1067,Space,2,984.07,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/1302-Keoncrest-Ave-San-Jose-CA-95110/19558880_zpid/,"1302 Keoncrest Ave, San Jose, CA 95110",Sold,3,3,1310000,1949,0,5553,1729,Space,1,757.66,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/939-Northrup-St-San-Jose-CA-95126/19576522_zpid/,"939 Northrup St, San Jose, CA 95126",Sold,2,2,1010000,1976,0,4887,1386,Space,2,728.72,9/11/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/2293-Sunrise-Dr-San-Jose-CA-95124/19677737_zpid/,"2293 Sunrise Dr, San Jose, CA 95124",Sold,4,2,1160000,1960,0,6150,1380,Space,2,840.58,9/11/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/397-Rosewood-Ave-San-Jose-CA-95117/19608324_zpid/,"397 Rosewood Ave, San Jose, CA 95117",Sold,3,2,1250000,1947,0,8110,1386,Space,1,901.88,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/2251-Booksin-Ave-San-Jose-CA-95125/19692500_zpid/,"2251 Booksin Ave, San Jose, CA 95125",Sold,4,2,1440000,1959,0,7209,1614,Space,1,892.19,9/10/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/1731-Glen-Una-Ave-San-Jose-CA-95125/19685696_zpid/,"1731 Glen Una Ave, San Jose, CA 95125",Sold,4,3,1550000,1928,0,4443,2146,Space,1,722.27,9/10/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/473-S-Henry-Ave-San-Jose-CA-95117/19608289_zpid/,"473 S Henry Ave, San Jose, CA 95117",Sold,2,1,1020000,1946,0,7305,1172,Space,1,870.31,9/10/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/887-College-Dr-San-Jose-CA-95128/19589978_zpid/,"887 College Dr, San Jose, CA 95128",Sold,3,2,1180000,1955,0,6080,1556,Space,2,758.35,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/1426-Maria-Way-San-Jose-CA-95117/19608936_zpid/,"1426 Maria Way, San Jose, CA 95117",Sold,4,2,1400000,1960,0,5879,1490,Space,2,939.6,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/6867-Dartmoor-Way-San-Jose-CA-95129/19641178_zpid/,"6867 Dartmoor Way, San Jose, CA 95129",Sold,4,4,2630000,1959,0,6124,2131,Space,2,1234.16,9/10/20,0,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/438-N-9th-St-San-Jose-CA-95112/19569000_zpid/,"438 N 9th St, San Jose, CA 95112",Sold,3,2,1130000,1947,0,5641,1470,Space,1,768.71,9/10/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/1231-Husted-Ave-San-Jose-CA-95125/19687216_zpid/,"1231 Husted Ave, San Jose, CA 95125",Sold,3,2,1440000,1955,0,7413,1793,Space,2,803.12,9/10/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/5185-Sandy-Ln-San-Jose-CA-95124/19674952_zpid/,"5185 Sandy Ln, San Jose, CA 95124",Sold,3,2,1340000,1959,0,6133,1233,Space,1,1086.78,9/10/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/4918-Howes-Ln-San-Jose-CA-95118/19759741_zpid/,"4918 Howes Ln, San Jose, CA 95118",Sold,4,3,1500000,1965,0,7522,2133,Space,1,703.23,9/10/20,0,SanJose,TRUE,FALSE
https://www.zillow.com/homedetails/1039-Bright-Oak-Pl-San-Jose-CA-95120/19835785_zpid/,"1039 Bright Oak Pl, San Jose, CA 95120",Sold,5,3,1460000,1969,0,14375,2585,Space,2,564.8,7/7/20,54,SanJose,TRUE,TRUE
https://www.zillow.com/homedetails/203-S-13th-St-Richmond-CA-94804/18546386_zpid/,"203 S 13th St, Richmond, CA 94804",Sold,2,2,366000,1909,0,8276,1417,Space,2,258.29,1/7/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/814-Griffin-Dr-Richmond-CA-94806/18506265_zpid/,"814 Griffin Dr, Richmond, CA 94806",Sold,3,1,410000,1950,0,5000,1309,Space,1,313.22,3/24/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/332-Chanslor-Ave-Richmond-CA-94801/18545508_zpid/,"332 Chanslor Ave, Richmond, CA 94801",Sold,2,1,405000,1920,0,1846,937,Off street,1,432.23,3/24/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/2938-Johnson-Ave-Richmond-CA-94804/18547072_zpid/,"2938 Johnson Ave, Richmond, CA 94804",Sold,2,1,313000,1926,0,2500,540,Space,1,579.63,3/25/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/3419-May-Rd-Richmond-CA-94803/18520097_zpid/,"3419 May Rd, Richmond, CA 94803",Sold,4,2,693000,1961,0,6825,1485,Garage,1,466.67,3/26/20,0,Richmond,TRUE,TRUE
https://www.zillow.com/homedetails/2836-Esmond-Ave-Richmond-CA-94804/18542597_zpid/,"2836 Esmond Ave, Richmond, CA 94804",Sold,3,1,440000,1948,0,4469,1160,Space,1,379.31,3/26/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/2703-Mcbryde-Ave-Richmond-CA-94804/18542267_zpid/,"2703 Mcbryde Ave, Richmond, CA 94804",Sold,3,2,528650,1948,0,4791,1356,Space,1,389.86,3/26/20,0,Richmond,TRUE,TRUE
https://www.zillow.com/homedetails/556-2nd-St-Richmond-CA-94801/18544714_zpid/,"556 2nd St, Richmond, CA 94801",Sold,2,1,342000,1913,0,2565,827,Space,1,413.54,3/26/20,0,Richmond,TRUE,TRUE
https://www.zillow.com/homedetails/648-42nd-St-Richmond-CA-94805/18537518_zpid/,"648 42nd St, Richmond, CA 94805",Sold,2,1,575000,1953,0,3496,901,Space,1,638.18,3/27/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/5620-Panama-Ave-Richmond-CA-94804/18533654_zpid/,"5620 Panama Ave, Richmond, CA 94804",Sold,2,1,731000,1951,0,2500,861,Space,2,849.01,3/27/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/249-S-44th-St-Richmond-CA-94804/18534438_zpid/,"249 S 44th St, Richmond, CA 94804",Sold,3,1,492500,1948,0,4299,1030,Space,1,478.16,3/27/20,0,Richmond,TRUE,TRUE
https://www.zillow.com/homedetails/617-Civic-Center-St-Richmond-CA-94804/18536082_zpid/,"617 Civic Center St, Richmond, CA 94804",Sold,2,1,510000,1944,0,3920,804,Space,1,634.33,3/27/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/2000-Garvin-Ave-Richmond-CA-94801/18543280_zpid/,"2000 Garvin Ave, Richmond, CA 94801",Sold,2,1,430000,1940,0,5148,1096,Space,2,392.34,3/27/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/1639-Aqua-Vista-Rd-Richmond-CA-94805/18539495_zpid/,"1639 Aqua Vista Rd, Richmond, CA 94805",Sold,3,2,765000,1948,0,4543,1498,Space,2,510.68,3/27/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/100-Waterview-Dr-Richmond-CA-94804/18549516_zpid/,"100 Waterview Dr, Richmond, CA 94804",Sold,3,3,875000,1997,0,3497,1880,Space,2,465.43,3/30/20,123,Richmond,TRUE,TRUE
https://www.zillow.com/homedetails/2637-Moyers-Rd-Richmond-CA-94806/18512082_zpid/,"2637 Moyers Rd, Richmond, CA 94806",Sold,4,2,640900,1958,0,5000,1465,Space,2,437.47,3/30/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/600-16th-St-Richmond-CA-94801/18535948_zpid/,"600 16th St, Richmond, CA 94801",Sold,3,2,520000,1923,0,2613,1051,Space,1,494.77,3/30/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/6017-Burlingame-Ave-Richmond-CA-94804/18532011_zpid/,"6017 Burlingame Ave, Richmond, CA 94804",Sold,3,2,1100000,1941,0,5000,1356,Space,1,811.21,3/30/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/2818-Loyola-Ave-Richmond-CA-94806/18511878_zpid/,"2818 Loyola Ave, Richmond, CA 94806",Sold,3,2,510000,1957,0,5549,1152,Space,2,442.71,3/31/20,0,Richmond,TRUE,TRUE
https://www.zillow.com/homedetails/4606-Cutting-Blvd-Richmond-CA-94804/18534914_zpid/,"4606 Cutting Blvd, Richmond, CA 94804",Sold,3,2,565000,1957,0,3049,1186,Space,1,476.39,3/31/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/632-42nd-St-Richmond-CA-94805/18538179_zpid/,"632 42nd St, Richmond, CA 94805",Sold,4,1.5,445000,1942,0,5000,1067,Space,1,417.06,3/31/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/5352-Country-View-Dr-Richmond-CA-94803/18521375_zpid/,"5352 Country View Dr, Richmond, CA 94803",Sold,4,3,825000,1990,0,8799,2591,Space,3,318.41,3/31/20,200,Richmond,TRUE,TRUE
https://www.zillow.com/homedetails/642-39th-St-Richmond-CA-94805/18538130_zpid/,"642 39th St, Richmond, CA 94805",Sold,3,2,850000,1931,0,5000,1426,Space,2,596.07,4/1/20,0,Richmond,TRUE,FALSE
https://www.zillow.com/homedetails/2935-Humphrey-Ave-Richmond-CA-94804/18541534_zpid/,"2935 Humphrey Ave, Richmond, CA 94804",Sold,2,1,535000,1943,0,5000,660,Space,1,810.61,4/1/20,0,Richmond,TRUE,FALSE
